step,epoch,phase,train_loss,train_action_l1,lr,eval_action_l1,source
50,,train,1.8562400341033936,0.2271337062120437,0.0001,,swanlab
100,,train,1.1255476474761963,0.1987303346395492,0.0001,,swanlab
150,,train,0.753721296787262,0.186551883816719,0.0001,,swanlab
200,,train,0.4969574213027954,0.1667085438966751,0.0001,,swanlab
250,,train,0.3649409711360931,0.1593872606754303,0.0001,,swanlab
300,,train,0.2915322780609131,0.1594444811344146,0.0001,,swanlab
350,,train,0.2629011273384094,0.1501726508140564,0.0001,,swanlab
400,,train,0.2236487567424774,0.1560876369476318,0.0001,,swanlab
450,,train,0.2049786299467086,0.135666161775589,0.0001,,swanlab
500,,train,0.1962578743696212,0.147160530090332,0.0001,,swanlab
550,,train,0.1638917028903961,0.1298676282167434,0.0001,,swanlab
600,,train,0.1702392846345901,0.1401920020580291,0.0001,,swanlab
650,,train,0.1588751226663589,0.1280329227447509,0.0001,,swanlab
700,,train,0.1396873444318771,0.1177600622177124,0.0001,,swanlab
717,,eval,,,,0.173181727528572,swanlab
750,,train,0.157148540019989,0.1376431584358215,0.0001,,swanlab
800,,train,0.1750414818525314,0.1593841761350631,0.0001,,swanlab
850,,train,0.1481260061264038,0.1343445628881454,0.0001,,swanlab
900,,train,0.1430055648088455,0.1332667469978332,0.0001,,swanlab
950,,train,0.1168848276138305,0.1099872961640358,0.0001,,swanlab
1000,,train,0.1159731373190879,0.1038503423333168,0.0001,,swanlab
1050,,train,0.1369888335466385,0.1304641664028167,0.0001,,swanlab
1100,,train,0.1236229836940765,0.1190304160118103,0.0001,,swanlab
1150,,train,0.1186570525169372,0.1109034717082977,0.0001,,swanlab
1200,,train,0.1060659885406494,0.100708819925785,0.0001,,swanlab
1250,,train,0.1210898607969284,0.115855798125267,0.0001,,swanlab
1300,,train,0.1265915036201477,0.1220074966549873,0.0001,,swanlab
1350,,train,0.1321306377649307,0.1246527507901191,0.0001,,swanlab
1400,,train,0.1176134049892425,0.111108087003231,0.0001,,swanlab
1434,,eval,,,,0.1803190261125564,swanlab
1450,,train,0.122669979929924,0.1168499737977981,0.0001,,swanlab
1500,,train,0.1078002825379371,0.1030169427394867,0.0001,,swanlab
1550,,train,0.1204432696104049,0.1091820076107978,0.0001,,swanlab
1600,,train,0.1169386282563209,0.1106576025485992,0.0001,,swanlab
1650,,train,0.1075510159134864,0.1038347110152244,0.0001,,swanlab
1700,,train,0.1079736053943634,0.1043872386217117,0.0001,,swanlab
