granularity,paired_count,abc_better_count,abc_better_pct,mean_action_l1_splitA_final,mean_action_l1_splitABC_final,mean_delta_splitA_minus_splitABC,relative_improvement_pct,bootstrap_95ci_delta_low,bootstrap_95ci_delta_high,weighted_action_l1_splitA_final,weighted_action_l1_splitABC_final,weighted_delta_splitA_minus_splitABC
episode,5124,4041,78.86416861826699,0.18844619720032962,0.1554875803148677,0.03295861688546192,17.489669399072525,0.03175297548215547,0.03422961109108515,0.18863809441176368,0.1548861147815655,0.0337519796301982
task,389,355,91.25964010282776,0.18923074082454835,0.15784642712424174,0.03138431370030663,16.585208916666268,0.028807841842207894,0.03419349073922468,0.18863809441176368,0.1548861147815655,0.0337519796301982
action_dim,7,7,100.0,0.18863806994540555,0.15488607751479336,0.03375199243061218,17.892460647196227,0.012246773201517793,0.07005920243821219,0.18863806994540555,0.15488607751479336,0.03375199243061218
