model_name,eval_split,episode_index,action_l1,valid_action_elements
act_splitA_final,splitD,99,0.22075105157176733,3976.0
act_splitA_final,splitD,100,0.12180709629695607,6440.0
act_splitA_final,splitD,101,0.2328721790120852,4648.0
act_splitA_final,splitD,102,0.2280382512148863,6440.0
act_splitA_final,splitD,103,0.11251951930870921,6440.0
act_splitA_final,splitD,104,0.1686097968809353,6440.0
act_splitA_final,splitD,105,0.2091526233863016,6440.0
act_splitA_final,splitD,106,0.13061032601765224,4200.0
act_splitA_final,splitD,107,0.10876159801246217,6440.0
act_splitA_final,splitD,108,0.17765549004818343,6440.0
act_splitA_final,splitD,109,0.16745102359271197,6440.0
act_splitA_final,splitD,110,0.2331932363686738,4536.0
act_splitA_final,splitD,111,0.2268526097632343,6440.0
act_splitA_final,splitD,112,0.18861704126740836,6440.0
act_splitA_final,splitD,113,0.24548006872212666,6440.0
act_splitA_final,splitD,114,0.204392367536607,6440.0
act_splitA_final,splitD,115,0.1496897768609378,3528.0
act_splitA_final,splitD,116,0.2886786415525105,6440.0
act_splitA_final,splitD,117,0.1316324412545062,6440.0
act_splitA_final,splitD,118,0.11991530107045026,6440.0
act_splitA_final,splitD,119,0.17365971819255913,3976.0
act_splitA_final,splitD,120,0.16355554483692097,6440.0
act_splitA_final,splitD,121,0.12936911401541337,6440.0
act_splitA_final,splitD,122,0.18227336955981954,3976.0
act_splitA_final,splitD,123,0.2034565338992184,6440.0
act_splitA_final,splitD,124,0.2280392365055795,6440.0
act_splitA_final,splitD,125,0.12009077831084684,6440.0
act_splitA_final,splitD,126,0.17457016040079343,6440.0
act_splitA_final,splitD,127,0.18931924539693393,6440.0
act_splitA_final,splitD,128,0.10109773798388724,6440.0
act_splitA_final,splitD,129,0.16427552672276585,6440.0
act_splitA_final,splitD,130,0.15815013741021572,6440.0
act_splitA_final,splitD,131,0.19041316055733223,6440.0
act_splitA_final,splitD,132,0.18490391692019398,6440.0
act_splitA_final,splitD,133,0.17770821585418276,6440.0
act_splitA_final,splitD,134,0.1884230039173499,3192.0
act_splitA_final,splitD,135,0.1476369919058699,6440.0
act_splitA_final,splitD,136,0.327202107040038,6440.0
act_splitA_final,splitD,137,0.11881293167197515,3528.0
act_splitA_final,splitD,138,0.17138670658843116,6440.0
act_splitA_final,splitD,139,0.24620316883792048,6440.0
act_splitA_final,splitD,140,0.21305753321321477,3304.0
act_splitA_final,splitD,141,0.15525504418226502,6440.0
act_splitA_final,splitD,142,0.2200015581357553,6440.0
act_splitA_final,splitD,143,0.2070509415207461,4424.0
act_splitA_final,splitD,144,0.14517422112989128,6440.0
act_splitA_final,splitD,145,0.19575628060731828,6440.0
act_splitA_final,splitD,146,0.2420691800413665,6440.0
act_splitA_final,splitD,147,0.3831816221153514,6440.0
act_splitA_final,splitD,148,0.20880882129165695,6440.0
act_splitA_final,splitD,149,0.1422713922047467,6440.0
act_splitA_final,splitD,150,0.10237247064116409,3416.0
act_splitA_final,splitD,151,0.19814391357373007,6440.0
act_splitA_final,splitD,152,0.250032788399634,3304.0
act_splitA_final,splitD,153,0.23187461117779987,6440.0
act_splitA_final,splitD,154,0.15499012124094164,6440.0
act_splitA_final,splitD,155,0.19741955336576664,6440.0
act_splitA_final,splitD,156,0.1794633658868926,6440.0
act_splitA_final,splitD,157,0.19753153111253466,6440.0
act_splitA_final,splitD,158,0.21252602474844973,6440.0
act_splitA_final,splitD,159,0.21293526125250395,6440.0
act_splitA_final,splitD,160,0.18450478518046207,6440.0
act_splitA_final,splitD,161,0.11033404015024717,2968.0
act_splitA_final,splitD,162,0.13433810203156857,6440.0
act_splitA_final,splitD,163,0.16977753728072836,6440.0
act_splitA_final,splitD,164,0.233892725158182,6440.0
act_splitA_final,splitD,165,0.19705983878847974,6440.0
act_splitA_final,splitD,166,0.16872266835492591,6440.0
act_splitA_final,splitD,167,0.1639742133780296,6440.0
act_splitA_final,splitD,168,0.14636379500723773,6440.0
act_splitA_final,splitD,169,0.20433489639566552,6440.0
act_splitA_final,splitD,170,0.16281604880686873,6440.0
act_splitA_final,splitD,171,0.2427415029972977,6440.0
act_splitA_final,splitD,172,0.16332138986876293,3864.0
act_splitA_final,splitD,173,0.15052542495801582,6440.0
act_splitA_final,splitD,174,0.18279896804264614,6440.0
act_splitA_final,splitD,175,0.2679914125374385,6440.0
act_splitA_final,splitD,176,0.264468761112379,6440.0
act_splitA_final,splitD,177,0.1754994811848824,6440.0
act_splitA_final,splitD,178,0.20725800006285958,6440.0
act_splitA_final,splitD,179,0.27598230185345834,6440.0
act_splitA_final,splitD,180,0.2413707623570602,6440.0
act_splitA_final,splitD,181,0.14901766954958964,4536.0
act_splitA_final,splitD,182,0.16447657531833057,6440.0
act_splitA_final,splitD,183,0.15594096298543564,6440.0
act_splitA_final,splitD,184,0.22084520619293177,6440.0
act_splitA_final,splitD,185,0.12325933807014679,6440.0
act_splitA_final,splitD,186,0.14677817748385186,6440.0
act_splitA_final,splitD,187,0.15406645493847984,6440.0
act_splitA_final,splitD,188,0.20047906167944027,6440.0
act_splitA_final,splitD,189,0.18711387493145237,3752.0
act_splitA_final,splitD,190,0.22782429062431644,6440.0
act_splitA_final,splitD,191,0.12531534451875628,6440.0
act_splitA_final,splitD,192,0.22813638178458126,6440.0
act_splitA_final,splitD,193,0.17303923730339324,6440.0
act_splitA_final,splitD,194,0.2180740147643948,6440.0
act_splitA_final,splitD,195,0.1336763266080655,6440.0
act_splitA_final,splitD,196,0.23472640790184093,6440.0
act_splitA_final,splitD,197,0.26731841423496694,6440.0
act_splitA_final,splitD,198,0.22653032480774069,3192.0
act_splitA_final,splitD,199,0.12745479876580446,6440.0
act_splitA_final,splitD,200,0.1881160359760249,6440.0
act_splitA_final,splitD,201,0.18433530742522353,6440.0
act_splitA_final,splitD,202,0.15023402402304714,6440.0
act_splitA_final,splitD,203,0.15626927632722795,6440.0
act_splitA_final,splitD,204,0.20982322995522007,6440.0
act_splitA_final,splitD,205,0.14291552751330855,6440.0
act_splitA_final,splitD,206,0.17991115958053874,6440.0
act_splitA_final,splitD,207,0.14338305276002944,6440.0
act_splitA_final,splitD,208,0.1559964520590646,6440.0
act_splitA_final,splitD,209,0.15753933857686772,6440.0
act_splitA_final,splitD,210,0.11845540449671123,6440.0
act_splitA_final,splitD,211,0.18948710376067543,3304.0
act_splitA_final,splitD,212,0.17512560360920354,6440.0
act_splitA_final,splitD,213,0.19181490619103986,3640.0
act_splitA_final,splitD,214,0.13073121382884195,3304.0
act_splitA_final,splitD,215,0.15623182343400044,6440.0
act_splitA_final,splitD,216,0.23402183837031726,6440.0
act_splitA_final,splitD,217,0.19537710567809038,6440.0
act_splitA_final,splitD,218,0.17660553525693667,6440.0
act_splitA_final,splitD,219,0.16399186469198013,6440.0
act_splitA_final,splitD,220,0.20161181462477454,6440.0
act_splitA_final,splitD,221,0.18035621539868923,6440.0
act_splitA_final,splitD,222,0.20528083957315232,6440.0
act_splitA_final,splitD,223,0.14736540361035685,3864.0
act_splitA_final,splitD,224,0.1664561893258776,6440.0
act_splitA_final,splitD,225,0.18010133478952492,6440.0
act_splitA_final,splitD,226,0.17682577222585677,6440.0
act_splitA_final,splitD,227,0.23127432743214674,6440.0
act_splitA_final,splitD,228,0.24946069016774988,6440.0
act_splitA_final,splitD,229,0.1909908616875249,4088.0
act_splitA_final,splitD,230,0.2683864642303069,3640.0
act_splitA_final,splitD,231,0.13654567580785812,6440.0
act_splitA_final,splitD,232,0.35542240888805865,6440.0
act_splitA_final,splitD,233,0.14611775809378358,6440.0
act_splitA_final,splitD,234,0.15434717917294236,6440.0
act_splitA_final,splitD,235,0.2046076312568617,6440.0
act_splitA_final,splitD,236,0.24762466775704614,6440.0
act_splitA_final,splitD,237,0.23777046276730782,6440.0
act_splitA_final,splitD,238,0.20577715102189817,6440.0
act_splitA_final,splitD,239,0.19927182802872628,6440.0
act_splitA_final,splitD,240,0.21203478837605588,6440.0
act_splitA_final,splitD,241,0.1407220907092835,6440.0
act_splitA_final,splitD,242,0.14926634976027175,6440.0
act_splitA_final,splitD,243,0.16467599794731377,6440.0
act_splitA_final,splitD,244,0.1587418761497699,6440.0
act_splitA_final,splitD,245,0.148942127027867,6440.0
