step,train_loss,train_loss_timestamp,train_action_l1,train_action_l1_timestamp,eval_action_l1,eval_action_l1_timestamp,lr,lr_timestamp
2650,0.1101754382252693,1781287018000.0,0.108371116220951,1781287018000.0,,,0.0001,1781287018000.0
2700,0.1051718592643737,1781287032000.0,0.101846307516098,1781287032000.0,,,0.0001,1781287032000.0
2750,0.1065151989459991,1781287045000.0,0.103592999279499,1781287045000.0,,,0.0001,1781287045000.0
2800,0.1192474290728569,1781287061000.0,0.1160742938518524,1781287061000.0,,,0.0001,1781287061000.0
2850,0.1109517961740493,1781287076000.0,0.1076693907380104,1781287076000.0,,,0.0001,1781287076000.0
2900,0.1143872663378715,1781287089000.0,0.1128161028027534,1781287089000.0,,,0.0001,1781287089000.0
2950,0.1054216623306274,1781287104000.0,0.1034484133124351,1781287104000.0,,,0.0001,1781287104000.0
3000,0.1132397577166557,1781287120000.0,0.1103153824806213,1781287120000.0,,,0.0001,1781287120000.0
3050,0.118932120501995,1781287134000.0,0.1163954585790634,1781287134000.0,,,0.0001,1781287134000.0
3100,0.1028731763362884,1781287148000.0,0.1010674312710762,1781287148000.0,,,0.0001,1781287148000.0
3150,0.1163997203111648,1781287163000.0,0.1140307560563087,1781287163000.0,,,0.0001,1781287163000.0
3200,0.0944140031933784,1781287179000.0,0.0920916348695755,1781287179000.0,,,0.0001,1781287179000.0
3250,0.0977671667933464,1781287193000.0,0.0964348688721656,1781287193000.0,,,0.0001,1781287193000.0
3300,0.1193486601114273,1781287207000.0,0.1167108714580536,1781287207000.0,,,0.0001,1781287207000.0
3350,0.0996399298310279,1781287222000.0,0.0977219715714454,1781287222000.0,,,0.0001,1781287222000.0
3400,0.1008812487125396,1781287237000.0,0.0976665318012237,1781287237000.0,,,0.0001,1781287237000.0
3450,0.1061889007687568,1781287252000.0,0.1034185737371444,1781287252000.0,,,0.0001,1781287252000.0
3500,0.1020070612430572,1781287266000.0,0.0982584804296493,1781287266000.0,,,0.0001,1781287266000.0
3550,0.1045692712068557,1781287280000.0,0.101510189473629,1781287280000.0,,,0.0001,1781287280000.0
3600,0.1038446947932243,1781287296000.0,0.1005224511027336,1781287296000.0,,,0.0001,1781287296000.0
3650,0.1047460436820984,1781287310000.0,0.0995313674211502,1781287310000.0,,,0.0001,1781287310000.0
3700,0.1186012998223304,1781287325000.0,0.1152851283550262,1781287325000.0,,,0.0001,1781287325000.0
3750,0.0977391079068184,1781287339000.0,0.0938778445124626,1781287339000.0,,,0.0001,1781287339000.0
3800,0.1071791499853134,1781287354000.0,0.1042065843939781,1781287354000.0,,,0.0001,1781287354000.0
3850,0.1000787988305092,1781287369000.0,0.0956422388553619,1781287369000.0,,,0.0001,1781287369000.0
3900,0.1045128926634788,1781287384000.0,0.1011990532279014,1781287384000.0,,,0.0001,1781287384000.0
3950,0.0932991951704025,1781287398000.0,0.0907482281327247,1781287398000.0,,,0.0001,1781287398000.0
4000,0.0997837111353874,1781287413000.0,0.0963842198252678,1781287413000.0,,,0.0001,1781287413000.0
4050,0.0918064415454864,1781287428000.0,0.0894035398960113,1781287428000.0,,,0.0001,1781287428000.0
4100,0.1072343811392784,1781287441000.0,0.1040378510951995,1781287441000.0,,,0.0001,1781287441000.0
4150,0.1159828454256057,1781287455000.0,0.1137047186493873,1781287455000.0,,,0.0001,1781287455000.0
4188,,,,,0.1486425548791885,1781287675000.0,,
4200,0.0985347554087638,1781287682000.0,0.0966807380318641,1781287682000.0,,,0.0001,1781287682000.0
4250,0.10055922716856,1781287696000.0,0.0984050557017326,1781287696000.0,,,0.0001,1781287696000.0
4300,0.0992763042449951,1781287711000.0,0.0969148054718971,1781287711000.0,,,0.0001,1781287711000.0
4350,0.0836916044354438,1781287727000.0,0.0825903341174125,1781287727000.0,,,0.0001,1781287727000.0
4400,0.1029950529336929,1781287741000.0,0.1003133580088615,1781287741000.0,,,0.0001,1781287741000.0
4450,0.1013782769441604,1781287755000.0,0.0983460322022438,1781287755000.0,,,0.0001,1781287755000.0
