step,train_loss,train_loss_timestamp,train_action_l1,train_action_l1_timestamp,eval_action_l1,eval_action_l1_timestamp,lr,lr_timestamp
50,1.8562400341033936,1781282729000.0,0.2271337062120437,1781282729000.0,,,0.0001,1781282729000.0
100,1.1255476474761963,1781282743000.0,0.1987303346395492,1781282743000.0,,,0.0001,1781282743000.0
150,0.753721296787262,1781282758000.0,0.186551883816719,1781282758000.0,,,0.0001,1781282758000.0
200,0.4969574213027954,1781282772000.0,0.1667085438966751,1781282772000.0,,,0.0001,1781282772000.0
250,0.3649409711360931,1781282787000.0,0.1593872606754303,1781282787000.0,,,0.0001,1781282787000.0
300,0.2915322780609131,1781282801000.0,0.1594444811344146,1781282801000.0,,,0.0001,1781282801000.0
350,0.2629011273384094,1781282815000.0,0.1501726508140564,1781282815000.0,,,0.0001,1781282815000.0
400,0.2236487567424774,1781282829000.0,0.1560876369476318,1781282829000.0,,,0.0001,1781282829000.0
450,0.2049786299467086,1781282844000.0,0.135666161775589,1781282844000.0,,,0.0001,1781282844000.0
500,0.1962578743696212,1781282859000.0,0.147160530090332,1781282859000.0,,,0.0001,1781282859000.0
550,0.1638917028903961,1781282873000.0,0.1298676282167434,1781282873000.0,,,0.0001,1781282873000.0
600,0.1702392846345901,1781282887000.0,0.1401920020580291,1781282887000.0,,,0.0001,1781282887000.0
650,0.1588751226663589,1781282901000.0,0.1280329227447509,1781282901000.0,,,0.0001,1781282901000.0
700,0.1396873444318771,1781282916000.0,0.1177600622177124,1781282916000.0,,,0.0001,1781282916000.0
717,,,,,0.173181727528572,1781283129000.0,,
750,0.157148540019989,1781283140000.0,0.1376431584358215,1781283140000.0,,,0.0001,1781283140000.0
800,0.1750414818525314,1781283154000.0,0.1593841761350631,1781283154000.0,,,0.0001,1781283154000.0
850,0.1481260061264038,1781283168000.0,0.1343445628881454,1781283168000.0,,,0.0001,1781283168000.0
900,0.1430055648088455,1781283183000.0,0.1332667469978332,1781283183000.0,,,0.0001,1781283183000.0
950,0.1168848276138305,1781283197000.0,0.1099872961640358,1781283197000.0,,,0.0001,1781283197000.0
1000,0.1159731373190879,1781283212000.0,0.1038503423333168,1781283212000.0,,,0.0001,1781283212000.0
1050,0.1369888335466385,1781283226000.0,0.1304641664028167,1781283226000.0,,,0.0001,1781283226000.0
1100,0.1236229836940765,1781283242000.0,0.1190304160118103,1781283242000.0,,,0.0001,1781283242000.0
1150,0.1186570525169372,1781283257000.0,0.1109034717082977,1781283257000.0,,,0.0001,1781283257000.0
1200,0.1060659885406494,1781283271000.0,0.100708819925785,1781283271000.0,,,0.0001,1781283271000.0
1250,0.1210898607969284,1781283285000.0,0.115855798125267,1781283285000.0,,,0.0001,1781283285000.0
1300,0.1265915036201477,1781283301000.0,0.1220074966549873,1781283301000.0,,,0.0001,1781283301000.0
1350,0.1321306377649307,1781283315000.0,0.1246527507901191,1781283315000.0,,,0.0001,1781283315000.0
1400,0.1176134049892425,1781283329000.0,0.111108087003231,1781283329000.0,,,0.0001,1781283329000.0
1434,,,,,0.1803190261125564,1781283547000.0,,
